,brand,model,price,year,kilometer,fuel,gear
2690,Skoda,Octavia,5900,2010,217000,Diesel,Automaatti
2691,Mercedes-Benz,C 200,49779,2021,2000,Bensiini,Automaatti
2692,BMW,5-sarja,3500,2002,270000,Bensiini,-
2694,BMW,520,37700,2018,99000,Diesel,Automaatti
2695,Volkswagen,Touareg,72900,2019,79000,Diesel,Automaatti
2696,Volkswagen,Jetta,14900,2012,35000,Bensiini,Automaatti
2697,Volvo,V40,13350,2015,136000,Diesel,Manuaali
2698,Toyota,Corolla,4990,2002,108000,Bensiini,Manuaali
2699,Fiat,Croma,4490,2008,98000,Bensiini,Manuaali
2700,Volvo,V70,4800,2004,271000,Bensiini,Automaatti
2701,BMW,3-sarja,3500,1998,320000,Bensiini,Manuaali
2702,Audi,A4,23900,2016,127400,Diesel,Automaatti
2703,Nissan,Qashqai,13900,2016,109000,Bensiini,Manuaali
2704,Mercedes-Benz,E 300,49900,2019,28000,Hybridi,Automaatti
2705,Mercedes-Benz,E 350,24900,2011,108000,Bensiini,Automaatti
2706,KIA,Cee'd,13400,2016,41000,Bensiini,Manuaali
2707,BMW,320,27990,2017,44000,Bensiini,Automaatti
2708,Toyota,Yaris,16900,2018,12000,Hybridi,Automaatti
2709,Tesla,Model S,54800,2016,164585,Sähkö,Automaatti
2710,Volvo,V40,14500,2014,105000,Diesel,Automaatti
2711,Skoda,Fabia,3480,2006,198000,Bensiini,Manuaali
2712,Peugeot,3008,14990,2013,55000,Hybridi,Automaatti
2713,BMW,320 GT,23990,2015,84000,Bensiini,Automaatti
2715,Toyota,Avensis,5490,2006,260000,Bensiini,Automaatti
2716,Mercedes-Benz,C 200,19890,2015,122000,Diesel,Automaatti
2717,Citroen,C4,4890,2008,80000,Bensiini,Manuaali
2718,Ford,Kuga,18980,2017,110000,Diesel,Manuaali
2719,Daewoo,Nubira,675,2004,285000,Bensiini,Manuaali
2720,Toyota,Corolla,28900,2021,9000,Bensiini,Automaatti
2722,Ford,Focus,2650,2008,272000,Bensiini,Manuaali
2723,KIA,Optima,23850,2018,102922,Hybridi,Automaatti
2724,Toyota,Avensis,6990,2008,242000,Bensiini,Manuaali
2725,BMW,530,34400,2018,96000,Hybridi,Automaatti
2726,Mercedes-Benz,E 220,8790,2007,318000,Diesel,Automaatti
2727,Toyota,Auris,12500,2013,69000,Bensiini,Manuaali
2728,Mini,Countryman,52900,2021,1000,Hybridi,Automaatti
2729,Ford,Focus,24880,2020,5000,Bensiini,Automaatti
2730,Ford,Focus,13990,2016,65000,Bensiini,Manuaali
2731,Volvo,V90,50990,2018,42000,Bensiini,Automaatti
2732,Volvo,V90,57900,2019,39500,Bensiini,Automaatti
2733,Skoda,Superb,25250,2018,84000,Diesel,Manuaali
2734,Lada,1200,4500,1979,158000,Bensiini,Manuaali
2735,Peugeot,306,680,1995,239920,Bensiini,Manuaali
2736,Nissan,Primera,2380,2006,267000,Bensiini,Manuaali
2738,Citroen,C3,19480,2019,23000,Bensiini,Automaatti
2739,Mercedes-Benz,CLA 180,26900,2019,94000,Bensiini,Automaatti
2740,Audi,A3,7500,2007,228000,Bensiini,Manuaali
2741,Nissan,Primera,600,2005,203000,Bensiini,Manuaali
2742,Nissan,Qashqai,3880,2008,362000,Bensiini,Manuaali
2743,Opel,Astra,8980,2015,158000,Bensiini,Manuaali
2744,Toyota,Avensis,6900,2006,183656,Bensiini,Automaatti
2745,Volkswagen,Passat,39900,2019,25000,Hybridi,Automaatti
2746,Volkswagen,Golf,5950,2012,235000,Diesel,Manuaali
2747,Volkswagen,Golf,5900,2010,240000,Bensiini,Automaatti
2748,KIA,Niro,46700,2021,200,Sähkö,Automaatti
2749,Toyota,Corolla,24990,2020,52000,Hybridi,Automaatti
2750,BMW,330,34990,2018,43000,Bensiini,Automaatti
2751,Volvo,V60,19900,2012,104000,Diesel,Automaatti
2752,Mercedes-Benz,A 180,17990,2014,79000,Diesel,Automaatti
2753,Volkswagen,Passat,7999,2012,260000,Diesel,Automaatti
2754,Opel,Astra,4999,2008,156000,Bensiini,Manuaali
2755,Peugeot,308,17880,2018,32000,Bensiini,Automaatti
2756,Mercedes-Benz,C 350,32850,2017,40000,Hybridi,Automaatti
2757,Toyota,Carina,960,1990,480575,Bensiini,-
2758,Audi,Q3,38900,2019,37000,Bensiini,Automaatti
2759,Volkswagen,Passat,890,0,452000,Diesel,Manuaali
2760,Volkswagen,Passat,5790,2011,247000,Diesel,Manuaali
2762,KIA,Rio,7400,2014,86000,Bensiini,Manuaali
2763,KIA,Sportage,14900,2011,156000,Diesel,Automaatti
2764,Volvo,V70,11900,2007,135000,Bensiini,Manuaali
2765,Volvo,V40,9690,2013,190000,Diesel,Manuaali
2766,Chevrolet,Kalos,1390,2006,210000,Bensiini,Manuaali
2767,Ford,Tourneo Connect,13890,2015,329000,Diesel,Manuaali
2768,Toyota,Yaris,17880,2020,14000,Bensiini,Automaatti
2769,Skoda,Superb,25890,2017,136000,Diesel,Automaatti
2770,BMW,530 GT,16900,2011,209000,Diesel,Automaatti
2771,BMW,520,7900,2008,270000,Diesel,Automaatti
2772,Skoda,Superb,28900,2017,107000,Diesel,Automaatti
2773,Nissan,Qashqai,14790,2015,81000,Bensiini,Manuaali
2775,Mercedes-Benz,E 220,34900,2018,114000,Diesel,Automaatti
2776,Peugeot,308,4590,2010,194000,Bensiini,Manuaali
2777,Audi,TT,3744,2000,292211,Bensiini,Manuaali
2779,Mercedes-Benz,E 200,16990,2013,211376,Diesel,Automaatti
2780,Ford,S-Max,18900,2011,129000,Bensiini,Automaatti
2781,Mercedes-Benz,C 200,39800,2018,42000,Bensiini,Automaatti
2783,Nissan,Qashqai,14900,2017,74000,Bensiini,Manuaali
2784,Ford,Focus,20480,2019,66000,Bensiini,Automaatti
2785,Volvo,S90,29900,2017,121000,Diesel,Automaatti
2786,Skoda,Superb,24900,2018,117000,Diesel,Automaatti
2787,Nissan,Qashqai,18990,2017,45000,Diesel,Manuaali
2788,Mazda,6,7260,2009,155000,Bensiini,Manuaali
2789,Citroen,C4 Cactus,10900,2014,74000,Bensiini,Manuaali
2790,Skoda,Superb,31490,2019,38000,Diesel,Automaatti
2791,Volvo,XC40,38800,2019,23000,Bensiini,Automaatti
2792,Nissan,Primera,1800,2007,301000,Bensiini,Manuaali
2793,Mercedes-Benz,V 250,41900,2014,191000,Diesel,Automaatti
2795,Volkswagen,Polo,16450,2018,39500,Bensiini,Manuaali
2796,Audi,A5,35890,2018,46000,Hybridi,Automaatti
2797,Dacia,Duster,13490,2015,83000,Diesel,Manuaali
2798,Hyundai,Sonata,1890,2003,233500,Bensiini,Manuaali
2799,Toyota,Avensis,19990,2016,93000,Bensiini,Automaatti
2800,Volkswagen,Golf,7390,2012,211000,Diesel,Automaatti
2801,Mercedes-Benz,E 200,38900,2018,15000,Diesel,Automaatti
2803,Volvo,C30,10500,2010,74000,Diesel,Manuaali
2804,Skoda,Octavia,34480,2019,75000,Diesel,Automaatti
2805,Volvo,XC60,17990,2012,219000,Diesel,Manuaali
2806,Renault,Megane,2900,2004,147123,Bensiini,Manuaali
2807,Ford,Mondeo,1900,2001,212000,Bensiini,Manuaali
2808,Tesla,Model S,38000,2014,177000,Sähkö,Automaatti
2809,Mercedes-Benz,GLC 350,43800,2017,62000,Hybridi,Automaatti
2810,Mercedes-Benz,GLA 180,26780,2015,54000,Bensiini,Automaatti
2811,SEAT,Tarraco,44600,2021,1000,Hybridi,Automaatti
2812,Audi,A6,2690,2003,320000,Bensiini,Automaatti
2813,Toyota,Yaris,21900,2021,2000,Hybridi,Automaatti
2814,Toyota,Corolla,9900,2010,120000,Bensiini,Manuaali
2816,Skoda,Octavia,5990,2010,195000,Diesel,Manuaali
2817,Chevrolet,Camaro,59890,1970,78000,Bensiini,Automaatti
2818,Mazda,626,330,2001,350,Bensiini,Manuaali
2819,Toyota,Yaris,20900,2020,1000,Bensiini,Automaatti
2820,Nissan,Qashqai,20890,2019,105000,Bensiini,Automaatti
2821,Mercedes-Benz,C 300,47900,2020,10000,Hybridi,Automaatti
2822,Ford,Fiesta,8990,2013,98000,Bensiini,Manuaali
2823,Suzuki,Jimny,25499,2019,16000,Bensiini,Manuaali
2824,Audi,Q2,28900,2018,42000,Bensiini,Automaatti
2825,KIA,Niro,24800,2019,21000,Hybridi,Automaatti
2826,Citroen,C4,2940,2006,180600,Bensiini,-
2827,Seat,ibiza 1.4,4300,2008,143000,Bensiini,Manuaali
2828,Mercedes-Benz,C 250,19900,2011,137800,Diesel,Automaatti
2829,Nissan,Qashqai,9600,2014,192000,Bensiini,Manuaali
2830,KIA,Cee'd,13900,2015,55000,Bensiini,Manuaali
2831,Nissan,Qashqai,19590,2018,32000,Bensiini,Manuaali
2832,Mercedes-Benz,E 300,26890,2014,89000,Hybridi,Automaatti
2833,Opel,Corsa,9800,2017,50000,Bensiini,Manuaali
2834,Mazda,3,4850,2005,112000,Bensiini,Manuaali
2835,Opel,Corsa,3400,2009,224000,Bensiini,Manuaali
2836,KIA,Sportage,5900,2007,237000,Bensiini,Automaatti
2837,Mercedes-Benz,C 200,9750,2009,223000,Diesel,Manuaali
2838,Nissan,X-Trail,18790,2016,175000,Diesel,Manuaali
2839,Volkswagen,Passat,29480,2018,68000,Hybridi,Automaatti
2840,Honda,HR-V,18500,2017,95000,Bensiini,Manuaali
2842,Citroen,C3,700,2003,251,Bensiini,Manuaali
2843,BMW,220,24990,2015,66000,Bensiini,Automaatti
2844,Opel,Astra,990,2000,297000,Bensiini,Automaatti
2845,Ford,Mondeo,17490,2015,119000,Bensiini,Manuaali
2846,Nissan,Terrano,1750,1994,280000,Diesel,Manuaali
2847,Opel,Astra,18500,2018,41000,Bensiini,Manuaali
2848,Mercedes-Benz,SLK 350,15900,2005,108000,Bensiini,Automaatti
2849,Toyota,RAV4,43900,2020,26000,Hybridi,Automaatti
2850,Volkswagen,Golf,11990,2013,175000,Bensiini,Automaatti
2851,Audi,RS6,106800,2016,101000,Bensiini,Automaatti
2852,Mercedes-Benz,E 220,30500,2017,185000,Diesel,Automaatti
2853,Mercedes-Benz,C 320,11900,2008,268000,Diesel,Automaatti
2854,Dacia,Duster,8800,2015,138000,Bensiini,Manuaali
2855,Volvo,S40,7700,2008,166000,Bensiini,Manuaali
2856,Mercedes-Benz,Sprinter,48500,2013,205000,Diesel,Manuaali
2857,SEAT,Leon,39900,2018,28000,Bensiini,Automaatti
2858,Toyota,RAV4,32890,2018,87000,Hybridi,Manuaali
2859,Mercedes-Benz,E 200,10990,2011,268000,Diesel,Manuaali
2860,Toyota,Corolla,30980,2020,4000,Hybridi,Automaatti
2861,Volkswagen,Golf,1390,2005,320000,Bensiini,Manuaali
2862,Citroen,C3,5480,2010,101000,Bensiini,Manuaali
2863,BMW,330,30900,2016,89000,Hybridi,Automaatti
2864,Skoda,Octavia,13490,2015,99800,Diesel,Manuaali
2865,BMW,530,26900,2012,129000,Diesel,Automaatti
2866,Volvo,S40,3900,2008,247000,Diesel,Manuaali
2867,Chevrolet,Impala,26900,1960,82000,Bensiini,Automaatti
2868,Citroen,C4,6200,2013,156000,Diesel,Manuaali
2869,Toyota,Avensis,12950,2009,117000,Bensiini,Automaatti
2870,Mitsubishi,Outlander,18990,2013,135000,Hybridi,Manuaali
2871,Toyota,RAV4,25500,2014,56000,Diesel,Automaatti
2872,KIA,Sorento,62800,2020,18000,Hybridi,Automaatti
2873,Audi,A6,17900,2013,169000,Diesel,Automaatti
2874,Volkswagen,Caddy,17450,2018,89000,Diesel,Automaatti
2875,Mercedes-Benz,C-sarja,1000,2003,390,Diesel,Manuaali
2876,Volkswagen,Polo,11900,2016,81000,Bensiini,Manuaali
2877,Volvo,S60,8890,2013,259000,Diesel,Automaatti
2878,Nissan,Qashqai,21800,2018,14000,Bensiini,Manuaali
2879,Volvo,V90,37900,2017,105000,Diesel,Automaatti
2880,Toyota,RAV4,49890,2021,400,Bensiini,Automaatti
2881,Toyota,Avensis,12950,2009,117000,Bensiini,Automaatti
2882,Mitsubishi,Outlander,18990,2013,135000,Hybridi,Manuaali
2883,Toyota,RAV4,25500,2014,56000,Diesel,Automaatti
2884,KIA,Sorento,62800,2020,18000,Hybridi,Automaatti
2885,Audi,A6,17900,2013,169000,Diesel,Automaatti
2886,Volkswagen,Caddy,17450,2018,89000,Diesel,Automaatti
2887,Mercedes-Benz,C-sarja,1000,2003,390,Diesel,Manuaali
2888,Volkswagen,Polo,11900,2016,81000,Bensiini,Manuaali
2889,Volvo,S60,8890,2013,259000,Diesel,Automaatti
2890,Nissan,Qashqai,21800,2018,14000,Bensiini,Manuaali
2891,Volvo,V90,37900,2017,105000,Diesel,Automaatti
2892,Toyota,RAV4,49890,2021,400,Bensiini,Automaatti
2893,Mazda,6,1690,2002,208000,Bensiini,Manuaali
2894,Nissan,Qashqai,17800,2016,83000,Bensiini,Manuaali
2895,Mercedes-Benz,GLC 250,47900,2018,48000,Diesel,Automaatti
2896,Hyundai,coupé vm 2000,1050,2000,223770,Bensiini,Manuaali
2897,Toyota,Corolla,3990,2004,281000,Bensiini,Manuaali
2898,Skoda,Octavia,7200,2011,240000,Diesel,Manuaali
2899,Skoda,Octavia,18490,2018,98000,Bensiini,Automaatti
2900,Subaru,Forester,21800,2014,117000,Bensiini,Automaatti
2901,BMW,330,46700,2020,26000,Hybridi,Automaatti
2902,Mercedes-Benz,A 180,20900,2016,65000,Bensiini,Manuaali
2903,Skoda,Kodiaq,45800,2019,38000,Bensiini,Automaatti
2904,KIA,Cee'd,5600,2012,215000,Bensiini,Manuaali
2905,Mercedes-Benz,E-sarja,14850,2012,298500,-,Automaatti
2906,Peugeot,308,2290,2009,211500,Diesel,Manuaali
2907,BMW,320,9900,2010,150000,Diesel,Automaatti
2908,Ford,Fiesta,13800,2019,15000,Bensiini,Manuaali
2909,Skoda,Yeti,15800,2017,106000,Diesel,Manuaali
2910,Toyota,Avensis,1500,2001,294500,Bensiini,Manuaali
2912,Lexus,UX,33800,2019,25000,Hybridi,Automaatti
2913,Mercedes-Benz,A 220,42990,2020,3000,Diesel,Automaatti
2914,KIA,Cee'd,8880,2012,115000,Bensiini,Manuaali
2915,Mazda,6,8200,2011,202000,Bensiini,Manuaali
2916,Toyota,Corolla,3890,2006,240000,Bensiini,Manuaali
2917,Mercedes-Benz,GLE 350,125800,2020,10000,Hybridi,Automaatti
2918,Volkswagen,Tiguan,13900,2011,154000,Diesel,Manuaali
2919,Volvo,XC90,46800,2016,146000,Diesel,Automaatti
2920,Ford,Mondeo,16890,2012,101000,Bensiini,Automaatti
2922,Nissan,Qashqai,19990,2015,51000,Bensiini,Manuaali
2923,Audi,A4,3990,2003,197000,Bensiini,Manuaali
2924,BMW,i8,85900,2017,27900,Hybridi,Automaatti
2925,Nissan,Qashqai,8250,2013,188000,Bensiini,Manuaali
2927,Volkswagen,Golf Sportsvan,13900,2015,88000,Bensiini,Manuaali
2928,Skoda,Octavia,9290,2013,240000,Diesel,Automaatti
2929,Volvo,XC60,18900,2011,202000,Diesel,Automaatti
2930,Hyundai,i30,6600,2011,172000,Bensiini,Manuaali
2931,BMW,120,25900,2017,58000,Diesel,Automaatti
2932,Skoda,Roomster,2500,2007,270000,Bensiini,Manuaali
2933,Toyota,Avensis,5800,2007,241000,Bensiini,Manuaali
2934,Mercedes-Benz,E-sarja,9700,1990,140000,Bensiini,Manuaali
2935,Volkswagen,Touran,6800,2012,289000,Bensiini,Manuaali
2937,Isuzu,Trooper,1000,1989,400000,Diesel,Manuaali
2938,Volkswagen,Touran,16490,2016,168500,Diesel,Automaatti
2939,Mercedes-Benz,E 350,15490,2009,249000,-,Automaatti
2940,Skoda,Fabia,8900,2016,127000,Bensiini,Manuaali
2941,Toyota,Yaris,4500,2006,184000,Bensiini,Manuaali
2942,Toyota,Avensis,8990,2009,190000,Bensiini,Manuaali
2943,Renault,Clio,740,2002,240000,Bensiini,Manuaali
2944,Audi,A6,2650,2007,330000,Bensiini,Automaatti
2945,Mitsubishi,Outlander,37900,2021,6,-,Automaatti
2946,Mini,Countryman,47900,2021,1000,Hybridi,Automaatti
2947,Mercedes-Benz,SLK 230,5990,1999,162000,Bensiini,Automaatti
2948,Mercedes-Benz,E 280,7900,2006,292000,Diesel,Automaatti
2949,Audi,Q5,42980,2018,69000,Diesel,Automaatti
2950,Audi,A4,800,1997,307000,Bensiini,-
2951,Peugeot,206,1290,2002,163000,Bensiini,Manuaali
2952,BMW,X5,49890,2017,105000,Hybridi,Automaatti
2953,Volkswagen,Passat,22400,2018,82000,Bensiini,Automaatti
2954,Citroen,C4,1200,2007,269000,Diesel,Automaatti
2955,Audi,A4,4480,2004,272000,Bensiini,Manuaali
2956,Honda,Civic,5980,2005,99000,Bensiini,Manuaali
2957,Ford,Mondeo,11400,2010,128000,Bensiini,Automaatti
2958,Volkswagen,Golf,6990,2010,125000,Bensiini,Manuaali
2959,Toyota,Avensis,1200,2000,362000,Bensiini,-
2960,Toyota,Avensis,1190,1999,347000,Bensiini,Manuaali
2961,Opel,Astra,12490,2016,108000,Bensiini,Manuaali
2962,SEAT,Altea XL,4899,2010,240500,Diesel,Automaatti
2963,Toyota,Verso,12980,2010,174000,Bensiini,Manuaali
2964,Skoda,Fabia,1950,2006,260000,Bensiini,Manuaali
2965,Mazda,6,9500,2009,130000,Bensiini,Automaatti
2966,Lexus,CT,14490,2012,156000,Hybridi,Automaatti
2967,Audi,A4 Allroad,29900,2018,137000,Diesel,Automaatti
2968,Volvo,XC60,45900,2018,90000,Diesel,Automaatti
2970,Mercedes-Benz,C 220,16990,2012,158000,Diesel,Automaatti
2971,Porsche,911,248000,2014,18000,Bensiini,-
2972,Mercedes-Benz,CLA 180,31900,2019,29000,Bensiini,Automaatti
2974,Nissan,Primera,1050,2005,339000,Bensiini,Manuaali
2976,Mitsubishi,Outlander,30900,2018,62000,Hybridi,Automaatti
2977,Hyundai,Tucson,6990,2009,216000,Diesel,Manuaali
2978,Porsche,Cayenne,57700,2015,83000,Hybridi,Automaatti
2980,Honda,Civic,13900,2016,85400,Bensiini,Manuaali
2981,BMW,X5,8490,2004,202000,Diesel,Automaatti
2982,Opel,Astra,12490,2016,123000,Diesel,Manuaali
2983,Peugeot,2008,17900,2018,31300,Bensiini,Automaatti
2984,Volkswagen,Tiguan,17990,2013,147000,Diesel,Automaatti
2985,Nissan,Qashqai,34990,2020,39000,Diesel,Automaatti
2986,BMW,520,33800,2017,49000,Diesel,Automaatti
2987,Toyota,Avensis,7450,2009,244000,Bensiini,Manuaali
2988,Volvo,XC60,49900,2018,102000,-,Automaatti
2989,Subaru,Outback,9900,2011,212000,Diesel,Manuaali
2990,Skoda,Superb,15900,2015,214000,Diesel,Automaatti
2991,Volkswagen,Beetle,7450,2014,258000,Bensiini,Manuaali
2992,Citroen,C4,1500,2006,167000,Bensiini,Manuaali
2993,Chevrolet,Cruze,9990,2014,69000,Bensiini,Manuaali
2994,Mercedes-Benz,C 180,17900,2012,107000,Bensiini,Automaatti
2995,Audi,A5,13400,2008,155200,Bensiini,Manuaali
2997,Porsche,911,29850,2000,111000,Bensiini,Automaatti
2998,BMW,528,27950,2016,57000,Bensiini,Manuaali
2999,Volvo,V70,16900,2015,306000,Diesel,Automaatti
3000,SEAT,Ibiza,4900,2012,162000,Bensiini,Automaatti
3001,Volkswagen,Golf,9990,2013,213000,Diesel,Manuaali
3002,Mercedes-Benz,E 220,55800,2019,10000,Diesel,Automaatti
3003,Toyota,Prius,5900,2005,258000,Bensiini,Automaatti
3004,Mazda,CX-3,22900,2017,12000,Bensiini,Automaatti
3005,Nissan,Primera,1490,1996,254000,Bensiini,Manuaali
3006,Volvo,S90,24900,2017,198000,Diesel,Automaatti
3007,Mazda,6,7900,2008,179000,Bensiini,Automaatti
3008,Volvo,S60,16800,2011,141000,Bensiini,Automaatti
3009,Skoda,Octavia,18900,2015,161000,Diesel,Automaatti
3010,BMW,530,32990,2017,101000,Hybridi,Automaatti
3011,Volkswagen,Golf,1890,1983,289300,Bensiini,Manuaali
3012,KIA,Stonic,16980,2018,34000,Bensiini,Manuaali
3013,Volkswagen,Golf Sportsvan,12880,2016,95500,Diesel,Manuaali
3014,Volkswagen,Golf,24900,2019,34000,Bensiini,Automaatti
3015,Mercedes-Benz,GLC 350,40900,2017,96000,Hybridi,Automaatti
3016,Lexus,CT,13900,2012,117000,Hybridi,Automaatti
3017,Peugeot,3008,5400,2011,164000,Bensiini,Manuaali
3018,Ford,Focus,17790,2018,42000,Bensiini,Automaatti
3019,Volvo,S60,4850,2005,260000,Bensiini,Manuaali
3020,Volvo,S80,7850,2007,248000,Bensiini,Automaatti
3021,Saab,9-3,6290,2009,255000,Bensiini,Manuaali
3022,Toyota,Avensis,11490,2011,175000,Bensiini,Manuaali
3023,Skoda,Superb,17490,2019,272000,Diesel,Automaatti
3024,Hyundai,ix35,12500,2012,154000,Bensiini,Manuaali
3025,Volkswagen,Tiguan,17450,2014,182000,Diesel,Automaatti
3026,Nissan,Qashqai,9350,2012,177000,Bensiini,Manuaali
3027,Nissan,Qashqai,7490,2013,233000,Bensiini,Manuaali
3028,Audi,A4,20900,2015,89000,Bensiini,Automaatti
3029,Jaguar,I-Pace,72900,2019,35000,Sähkö,Automaatti
3030,Land Rover,Range Rover Sport,24900,2011,171000,Diesel,Automaatti
3031,Volvo,XC60,36900,2017,68000,Diesel,Automaatti
3032,Peugeot,308,5490,2008,94000,Bensiini,Manuaali
3033,Volvo,V40,14980,2013,128000,Bensiini,Manuaali
3034,Volvo,V40,1590,2001,290000,Bensiini,Manuaali
3035,Mercedes-Benz,A 180,16900,2013,136000,Bensiini,Automaatti
3036,Saab,9-5,8980,2006,180000,Bensiini,Automaatti
3037,Audi,Q3,27900,2017,68000,Diesel,Automaatti
3038,Opel,Insignia,25500,2018,48000,Bensiini,Manuaali
3039,Skoda,Octavia,11900,2013,165000,Bensiini,Manuaali
3040,Lexus,RX,29950,2012,114000,Hybridi,Automaatti
3041,Porsche,Cayman,35890,2008,31000,Bensiini,Manuaali
3042,Ford,Ecosport,19890,2019,68000,Bensiini,Manuaali
3043,Volvo,V40,23500,2019,60000,Bensiini,Automaatti
3044,Toyota,Yaris,6450,2009,115000,Bensiini,Manuaali
3045,Volvo,V70,666,2001,399000,Bensiini,Automaatti
3047,Volkswagen,Touareg,27800,2014,175000,Diesel,Automaatti
3048,Volkswagen,Golf,21900,2019,52000,Bensiini,Automaatti
3049,Mitsubishi,Outlander,38750,2020,18000,Hybridi,Automaatti
3050,Opel,Astra,5650,2011,224000,Bensiini,Manuaali
3051,Mini,Cooper,2900,2003,160000,Bensiini,Manuaali
3052,KIA,Cee'd,20900,2018,50000,Bensiini,Automaatti
3053,Nissan,Qashqai,16490,2015,74000,Bensiini,Automaatti
3054,Chrysler,Stratus,2550,1999,205000,Bensiini,Automaatti
3055,Audi,TT,5900,2003,237000,Bensiini,Manuaali
3056,Volkswagen,Golf,23400,2018,40000,Bensiini,Automaatti
3057,KIA,Sorento,27980,2016,179000,Diesel,Automaatti
3058,SEAT,Toledo,10900,2016,34000,Bensiini,Manuaali
3059,Mercedes-Benz,GL 350,39500,2012,161000,Diesel,Automaatti
3060,Ford,Mondeo,5900,2009,249000,Diesel,Automaatti
3061,Renault,Clio,8990,2017,58000,Bensiini,Manuaali
3062,Volkswagen,Passat,8880,2011,382900,Diesel,Automaatti
3063,Subaru,Forester,9500,2011,214000,Diesel,Manuaali
3064,Ford,Fiesta,7500,2013,132000,Bensiini,Manuaali
3066,Peugeot,208,20900,2021,4000,Bensiini,Automaatti
3067,Triumph,"Spitfire MKIII, vm.1965",14500,1960,60000,Bensiini,Manuaali
3068,Toyota,Celsior,11900,0,119000,Bensiini,Automaatti
3069,Volvo,V60,22380,2017,96643,Diesel,Automaatti
3070,Audi,Q5,21700,2013,182000,Diesel,Automaatti
3071,Volvo,V70,7900,2006,184000,Kaasu,Manuaali
3072,BMW,X4,41900,2018,57000,Diesel,Automaatti
3073,Mercedes-Benz,E 220,32900,2016,117000,Diesel,Automaatti
3074,Mercedes-Benz,C 300,18900,2011,145000,Diesel,Automaatti
3075,Volkswagen,Transporter,11900,2007,219000,Diesel,Manuaali
3076,BMW,520,22750,2016,151000,Diesel,Automaatti
3077,BMW,530,24990,2014,171000,Diesel,Automaatti
3078,Volvo,XC60,25890,2017,184000,Diesel,Automaatti
3079,Nissan,Primera,2890,2004,178000,Bensiini,Automaatti
3080,Nissan,X-Trail,24750,2017,65000,Diesel,Automaatti
3081,Mitsubishi,Outlander,24900,2018,166000,Hybridi,Automaatti
3082,Audi,A4,9800,2010,286000,Diesel,Manuaali
3084,BMW,745,97800,2019,23000,Hybridi,Automaatti
3086,Hyundai,IONIQ,23300,2019,58000,Sähkö,Automaatti
3087,KIA,Cee'd,19900,2018,28000,Bensiini,Automaatti
3088,Toyota,Yaris,13800,2017,31000,Bensiini,Manuaali
3089,KIA,Optima,13990,2016,149000,Diesel,Automaatti
3090,Volvo,XC70,2980,2002,273000,Bensiini,Manuaali
3091,Volkswagen,Passat,9490,2014,206000,Diesel,Manuaali
3092,Mercedes-Benz,S-sarja,99800,2020,26000,Hybridi,Automaatti
3093,Audi,A4,11490,2009,193000,Bensiini,Manuaali
3094,Ford,Mustang,18000,2007,142000,Bensiini,Automaatti
3095,Ford,Explorer,84900,2021,589,Hybridi,Automaatti
3096,Skoda,Superb,29890,2016,57000,Diesel,Automaatti
3097,Skoda,Octavia,24990,2020,7000,Bensiini,Manuaali
3098,Mitsubishi,Outlander,20900,2014,102000,-,Automaatti
3099,BMW,318,5990,1995,229000,Bensiini,Automaatti
3101,Toyota,Avensis,9280,2010,208000,Bensiini,Manuaali
3102,Mercedes-Benz,C 200,49800,2019,6000,Bensiini,Automaatti
3103,BMW,320 GT,29890,2018,101000,Bensiini,Automaatti
3104,Toyota,Avensis,9300,2013,246000,Diesel,Manuaali
3105,Audi,A6,16900,2013,176000,Diesel,Automaatti
3106,Toyota,RAV4,27850,2017,84600,-,Automaatti
3107,Toyota,Auris,18900,2015,67000,Hybridi,Automaatti
3108,Volkswagen,Golf,13900,2014,168000,Bensiini,Automaatti
3110,Ford,Ecosport,18500,2019,42000,Bensiini,Automaatti
3111,Volkswagen,Up,14500,2016,54000,Sähkö,Automaatti
3112,Mazda,3,7250,2010,153000,Bensiini,Manuaali
3113,Volkswagen,Touran,26900,2018,109000,Diesel,Automaatti
3114,Volkswagen,Passat,12990,2013,156000,Bensiini,Automaatti
3115,Toyota,Yaris,12480,2015,99000,Bensiini,Automaatti
3116,Mercedes-Benz,ML 350,31800,2013,236000,Diesel,Automaatti
3117,SEAT,Alhambra,16500,2015,194000,Diesel,Automaatti
3118,Toyota,Yaris,6990,2009,93000,Bensiini,Manuaali
3119,Opel,Grandland X,26800,2019,31000,Bensiini,Automaatti
3120,Volkswagen,Golf,6400,2011,253000,Bensiini,Automaatti
3121,Ford,Fiesta,25700,2019,53000,Bensiini,Manuaali
3122,Volvo,V70,13880,2010,157000,Diesel,Automaatti
3123,Opel,Meriva,2900,2003,187000,Bensiini,Manuaali
3124,Renault,Kadjar,13900,2016,116000,Bensiini,Manuaali
3125,Mercedes-Benz,GLS 350,99990,2018,58000,Diesel,Automaatti
3126,Opel,Astra,6900,2011,207000,Bensiini,Manuaali
3127,Volkswagen,Passat,21800,2017,47000,Diesel,Manuaali
3128,Volkswagen,Golf,16950,2014,89000,Bensiini,Automaatti
3129,Ford,Focus,9900,2013,120000,Bensiini,Manuaali
3130,Toyota,Corolla,4990,2006,17600,Bensiini,Manuaali
3131,Volkswagen,Passat,43900,2021,6000,Bensiini,Automaatti
3132,KIA,Stonic,18690,2019,34000,Bensiini,Manuaali
