,brand,model,price,year,kilometer,fuel,gear
110,Volvo,V70,4900,2008,374500,Diesel,Automaatti
111,Nissan,Primera,600,1998,341000,Bensiini,Manuaali
112,Volkswagen,Passat,15000,2013,128000,Kaasu,Automaatti
113,Peugeot,807,500,2004,220000,Bensiini,Manuaali
114,Volvo,V90,27980,2017,151000,Diesel,Automaatti
115,Mercedes-Benz,S-sarja,800,2007,350000,Bensiini,Automaatti
116,Chevrolet,Nubira,990,2005,160000,Bensiini,Manuaali
118,Audi,Q5,15890,2009,211200,Diesel,Automaatti
119,MERCEDES-BENZ,farmari aj. 204tkm -Webasto,111400,2009,204123,-,-
120,Audi,A4,11870,2013,224000,Bensiini,Automaatti
121,Volvo,S60,10990,2011,252000,Diesel,Automaatti
122,Volvo,V70,8499,2010,328455,Diesel,Automaatti
123,Opel,Combo,4700,2006,172525,Kaasu,Manuaali
124,Mercedes-Benz,E 350,34800,2014,196000,Diesel,Automaatti
125,Skoda,Superb,11800,2012,145000,Bensiini,Automaatti
126,Mercedes-Benz,C-sarja,11400,2009,204123,Diesel,Manuaali
127,Renault,Laguna,6900,2003,8500,Bensiini,-
128,KIA,Carnival,1000,2002,269000,Diesel,-
129,Volkswagen,Golf,21800,2016,107600,Diesel,Automaatti
130,Toyota,Yaris,5990,2010,120000,Bensiini,Manuaali
131,Toyota,Avensis,4200,2005,217000,Bensiini,Manuaali
132,KIA,Sorento,6900,2006,160000,Bensiini,Manuaali
133,Mazda,6,4880,2007,165000,Bensiini,Automaatti
134,Vw,Passat 1.4 TSi -08/ myös vaihto/tarjoa,2890,2008,320000,Bensiini,Automaatti
135,Renault,Clio,700,1999,162009,Bensiini,Manuaali
136,Volkswagen,Passat,250,2006,405078,Diesel,Manuaali
137,Ford,Mondeo,850,2001,382000,Bensiini,-
138,Volvo,XC70,8900,2007,420000,Diesel,Automaatti
139,Volvo,V70,1790,2003,495000,Diesel,-
140,Nissan,Qashqai,16900,2015,97000,Bensiini,Automaatti
141,Audi,A4,3210,2003,356460,Bensiini,Manuaali
142,Toyota,Auris,14490,2013,92000,Bensiini,Manuaali
144,Volvo,V70,11900,2009,133000,Bensiini,Manuaali
145,Volkswagen,Golf,1000,2002,388993,Diesel,Manuaali
146,Toyota,Carina,1090,1997,304000,Bensiini,-
147,Ford,Escort,299,1992,99999,Bensiini,Manuaali
148,Ford,C-Max,10900,2015,142000,Diesel,Automaatti
149,Toyota,"Linea Luna 2,0VVT-i 50kW 3D HB Himoittu",1490,1999,252000,Bensiini,Manuaali
150,Lexus,UX,33880,2019,28000,Hybridi,Automaatti
151,Mercedes-Benz,E-sarja,8890,1991,219000,Bensiini,Manuaali
152,Mercedes-Benz,S-sarja,6900,1999,225000,Bensiini,Automaatti
153,BMW,1-sarja,400,1989,443000,Diesel,Manuaali
154,Toyota,Corolla,720,1989,198000,Bensiini,Manuaali
155,BMW,518,19900,2016,163000,Diesel,Automaatti
156,BMW,3-sarja,4300,2002,286289,Bensiini,Manuaali
158,KIA,Venga,3250,2011,456000,Diesel,Manuaali
159,Nissan,Tiida,6500,2009,59000,Bensiini,Manuaali
161,Mercedes-Benz,CLA 180 Shooting Brake,29400,2018,110000,Bensiini,Automaatti
162,Volkswagen,Polo,13500,2019,44000,Bensiini,Manuaali
163,Volkswagen,Golf,250,1997,271000,Bensiini,-
164,Ford,Fiesta,18900,2019,12000,Bensiini,Automaatti
165,BMW,320,17900,2014,173000,Diesel,Automaatti
166,Peugeot,307,1350,2003,301000,Bensiini,-
168,Honda,CR-V,5500,2008,360000,Diesel,Manuaali
169,Citroen,Xantia vm. 1996,350,1996,213000,Bensiini,Manuaali
170,Saab,9-3,2450,2003,439000,Diesel,Manuaali
171,Volkswagen,Golf,7900,2006,148700,Bensiini,-
172,Volvo,V50,7500,2012,206301,Diesel,Manuaali
173,Mercedes-Benz,ML 350,12900,2006,206000,Bensiini,Automaatti
174,Fiat,Punto,3500,2009,58000,Bensiini,Manuaali
175,Citroen,Xsara,700,2001,110000,Bensiini,Manuaali
176,Audi,A4,2900,2002,319800,Diesel,Automaatti
178,Daewoo,Nubira,1200,0,150000,Bensiini,-
179,Volkswagen,Golf,4990,2006,118000,Bensiini,Manuaali
180,Jeep,Compass,3490,2007,318000,Bensiini,Manuaali
181,Volkswagen,Golf,2500,1994,236000,Bensiini,Manuaali
182,Skoda,Octavia,4000,2008,251000,Diesel,Manuaali
184,Chrysler,PT Cruiser,2100,2005,130000,Bensiini,Manuaali
185,Opel,Corsa,1590,2004,160000,Bensiini,Manuaali
186,Skoda,Octavia,2650,2004,289500,Bensiini,-
187,Volvo,XC60,53900,2018,70000,Hybridi,Automaatti
188,Audi,A6,5500,2005,386000,Diesel,Automaatti
189,Hyväkuntoinen,honda accord,799,2002,323128,Bensiini,Manuaali
190,Volkswagen,Touareg,34900,2014,124000,Diesel,Automaatti
191,Volkswagen,Passat,8790,2011,255000,Bensiini,Manuaali
192,Ford,Mondeo,499,2001,380000,Bensiini,Manuaali
193,Volvo,XC90,59900,2016,79000,-,Automaatti
194,Renault,Clio,22300,2020,3000,Bensiini,Automaatti
196,Honda,CR-V,1200,1998,346000,Bensiini,-
197,Nissan,350Z,12500,2004,106000,E85 / Flexifuel,Automaatti
198,Honda,Civic,1750,2001,274000,Bensiini,Manuaali
199,Fiat,Punto,1200,2006,111779,Bensiini,-
200,Volkswagen,Passat,23980,2017,165000,Diesel,Automaatti
202,Ford,Focus,11800,2017,70600,Bensiini,Automaatti
203,Mazda,5,6900,2013,272000,Bensiini,Manuaali
204,Audi,A5,9550,2009,259000,Diesel,Manuaali
205,Ford,Focus,1150,2005,262400,Bensiini,Manuaali
206,Volvo,V70,3550,2011,635000,Diesel,Automaatti
207,Toyota,Avensis,3350,2008,258000,Bensiini,Manuaali
208,Volkswagen,Passat,5450,2010,285000,Kaasu,Manuaali
210,Toyota,Corolla,1750,1997,106000,Bensiini,Manuaali
211,Volvo,V60,29900,2018,30000,Kaasu,Automaatti
213,Volkswagen,Polo,14700,2019,13000,Bensiini,Manuaali
214,Audi,A6,35770,2013,120000,Diesel,Automaatti
216,Volvo,V60,16990,2014,180000,-,Automaatti
217,Volkswagen,Passat,2,2007,288000,Bensiini,Automaatti
218,Peugeot,206,1000,2003,239000,Bensiini,-
219,Toyota,Auris,14450,2014,107000,Bensiini,Manuaali
220,Ford,C-Max,700,2004,351000,Bensiini,-
221,Volvo,XC60,14500,2010,287000,Diesel,Automaatti
222,Nissan,Primera,600,2002,254120,Bensiini,Manuaali
223,Volvo,XC90,56900,2017,93500,Diesel,Automaatti
224,Volkswagen,Golf,15400,2009,158000,Bensiini,Automaatti
225,Volvo,V70,7490,2006,273000,Diesel,Automaatti
226,Volvo,XC60,55400,2018,31000,Bensiini,Automaatti
227,Volkswagen,Touran,7700,2008,150000,Kaasu,Manuaali
228,Nissan,Primera,350,2003,357000,Bensiini,-
229,Renault,Captur,31700,2021,5000,-,Automaatti
230,Renault,Clio,11690,2018,9600,Bensiini,Manuaali
231,Skoda,Octavia,4350,2010,258000,Diesel,Manuaali
232,Nissan,Note,9900,2015,101000,Bensiini,Automaatti
233,Toyota,"Yaris 1,3 vähän ajettu 127km",3150,2005,127,Bensiini,Manuaali
234,Hyvin,huollettu Toyota Corolla,6250,2008,125000,Bensiini,Manuaali
